sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
26630827535,2020-04-07T07:51:30Z,88,20,23,45,133,66,0.06448911222780569
26606164143,2020-04-05T09:19:00Z,82,17,21,44,77,65,0.11809685641461343
26593001460,2020-04-04T08:05:30Z,81,18,22,41,119,67,0.08488458674609084
26578191576,2020-04-03T08:50:00Z,72,16,21,35,51,66,0.10010427528675704
26399031599,2020-04-02T08:30:00Z,83,17,21,45,98,65,0.07178217821782178
26551217391,2020-04-01T08:58:30Z,84,20,22,42,53,66,0.06519558676028084
26537912786,2020-03-31T08:59:30Z,81,17,22,42,75,66,0.06063522617901829
26531243578,2020-03-30T08:30:00Z,88,19,23,46,113,66,0.07097933513027853
26513689360,2020-03-29T09:47:30Z,81,17,21,43,98,66,0.07354056103108415
26478485941,2020-03-26T06:42:30Z,79,16,23,40,79,66,0.061955469506292354
26464274816,2020-03-25T08:59:30Z,86,19,23,44,116,67,0.057547956630525435
26450201375,2020-03-24T06:38:00Z,73,21,16,36,100,65,0.06516290726817042
26437985621,2020-03-23T07:11:30Z,78,17,22,39,97,66,0.06350710900473934
26428121292,2020-03-22T11:40:30Z,82,17,20,45,99,65,0.08006672226855713
26399141431,2020-03-20T04:27:30Z,72,20,24,28,38,65,0.052980132450331126
26370541063,2020-03-18T08:37:00Z,88,20,22,46,107,66,0.07106598984771574
26356614312,2020-03-17T08:36:30Z,88,22,21,45,105,66,0.07043407043407043
26339579124,2020-03-16T06:16:00Z,73,17,16,40,94,64,0.057971014492753624
26328867503,2020-03-15T08:56:30Z,76,16,15,45,87,62,0.06734867860187553
26314657531,2020-03-14T07:29:30Z,82,20,23,39,89,64,0.0739404869251578
26300926636,2020-03-13T06:19:30Z,78,18,20,40,59,65,0.07684529828109202
26285078573,2020-03-12T08:29:30Z,82,15,23,44,72,65,0.07113316790736146
26270573486,2020-03-11T06:20:30Z,80,21,21,38,79,65,0.07104413347685684
